Unnamed: 0,link,classification,category,title,company,salary,min_salary,average_salary,max_salary,location,description,entireDiv,date_posted,Category,Date
0,https://www.seek.com.au//job/73666186?type=standout&ref=search-standalone,accounting,Financial Managers & Controllers,Senior Finance Manager,Intuitive Recruitment Pty Ltd,"$170,000 0 $180,,000 + super & substantial bonus",170000.0,175000.0,180000.0,Sydney NSW,"Leading Financial Services Co. Broad role. Lead team of Qualified Accountants with FC, FP&A . continuous improvement, productivity, change management.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Sydney-NSW?daterange=1&amp;salarytype=annual&amp;salaryrange=320000-400000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $170,000 0 $180,,000 + super &amp; substantial bonus"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$170,000 0 $180,,000 + super &amp; substantial bonus</span></span></div></div>]",,Accounting - None,11/02/2024
1,https://www.seek.com.au//job/73666469?type=standout&ref=search-standalone,accounting,Business Services & Corporate Advisory,Business Services Accounting Director,Lawson Delaney,$180k-$250k plus $$$ bonuses and dividends,180000.0,215000.0,250000.0,Melbourne VIC,Fast-changing clients & firm that will challenge & excite you.Use your technical knowledge & emotional intelligence to help yourself and the firm grow,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Melbourne-VIC?daterange=1&amp;salarytype=annual&amp;salaryrange=320000-400000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $180k-$250k plus $$$ bonuses and dividends"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$180k-$250k plus $$$ bonuses and dividends</span></span></div></div>]",,Accounting - None,11/02/2024
0,https://www.seek.com.au//job/73667239?type=standard&ref=search-standalone,insurance superannuation,Risk Consulting,Investment Risk Specialist,Bluefin Resources Pty Limited,$1k + Competitive Daily Rate $$,240000.0,320000.0,400000.0,Sydney NSW,Investment Risk specialist with key knowledge in asset management/superannuation across unlisted assets - 6 month contract - Sydney CBD.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-insurance-superannuation/in-All-Sydney-NSW?daterange=1&amp;salarytype=annual&amp;salaryrange=320000-400000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $1k + Competitive Daily Rate $$"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$1k + Competitive Daily Rate $$</span></span></div></div>]",,Insurance-superannuation - None,11/02/2024
0,https://www.seek.com.au//job/73667738?type=standout&ref=search-standalone,sport recreation,Management,"Senior Manager, Sport & Recreation",Curtin University,"$138,581 - $151,962 (G10) + 17% superannuation",138581.0,145271.5,151962.0,Perth WA,"If you're a visionary leader looking to make an impact on student experience, apply now to become the cornerstone of Sport & Recreation at Curtin!","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Perth WA"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-All-Perth-WA?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Perth WA"">Perth WA</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $138,581 - $151,962 (G10) + 17% superannuation"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$138,581 - $151,962 (G10) + 17% superannuation</span></span></div></div>]",,Sport-recreation - None,11/02/2024
1,https://www.seek.com.au//job/73667333?type=standout&ref=search-standalone,sport recreation,Management,Regional Manager,Garvie Group,"$75,000 – $80,000 per year + Bonus",75000.0,77500.0,80000.0,"Alexandra Headland, Sunshine Coast QLD",Garvie Holdings have an opportunity for an experienced Regional Manager to join our Snap Fitness Team based in our office at Alexandra Headland.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Alexandra Headland"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Alexandra-Headland-QLD-4572?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Alexandra Headland"">Alexandra Headland</a>, <a aria-label=""Limit results to Sunshine Coast QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Sunshine-Coast-QLD?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sunshine Coast QLD"">Sunshine Coast QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $75,000 – $80,000 per year + Bonus"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$75,000 – $80,000 per year + Bonus</span></span></div></div>]",,Sport-recreation - None,11/02/2024
2,https://www.seek.com.au//job/73666900?type=standard&ref=search-standalone,sport recreation,Fitness & Personal Training,Group Fitness Instructor,Body Fit Training,$30 – $40 per hour,54000.0,63000.0,72000.0,Melbourne VIC,"A fun, reliable and trustworthy personality is essential.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Oakleigh"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Oakleigh-VIC-3166?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Oakleigh"">Oakleigh</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-All-Melbourne-VIC?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $30 – $40 per hour"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$30 – $40 per hour</span></span></div></div>]",,Sport-recreation - None,11/02/2024
3,https://www.seek.com.au//job/73667673?type=standard&ref=search-standalone,sport recreation,Coaching & Instruction,"Pilates Reformer, Matt, Yoga or Barre Teacher",Alunara Wellness Studios,$38 – $50 per hour,68400.0,79200.0,90000.0,Sydney NSW,"At Alunara Wellness Studios, we believe in the power of movement & mindfulness through elemental, ritual living.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Pyrmont"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Pyrmont-NSW-2009?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Pyrmont"">Pyrmont</a>, <a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-All-Sydney-NSW?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $38 – $50 per hour"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$38 – $50 per hour</span></span></div></div>]",,Sport-recreation - None,11/02/2024
4,https://www.seek.com.au//job/73665335?type=standard&ref=search-standalone,sport recreation,Management,Birthday Party Host,Belgravia Health & Leisure Group,-,80000.0,120000.0,160000.0,Melbourne VIC,"The ideal candidate will be energetic, dynamic, outgoing and fun. You will need outstanding communication skills and a commitment to customer servi...","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Greensborough"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Greensborough-VIC-3088?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Greensborough"">Greensborough</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-All-Melbourne-VIC?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",,Sport-recreation - None,11/02/2024
5,https://www.seek.com.au//job/73665272?type=standard&ref=search-standalone,sport recreation,Coaching & Instruction,Lifeguards,Belgravia Health & Leisure Group,-,80000.0,120000.0,160000.0,Other,"We are currently looking for enthusiastic, reliable and friendly lifeguards to join the team. Our lifeguards will be responsible for the Day to Day...","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Moree"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Moree-NSW-2400?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Moree"">Moree</a>, <a aria-label=""Limit results to Tamworth &amp; North West NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Tamworth-&amp;-North-West-NSW?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Tamworth &amp; North West NSW"">Tamworth &amp; North West NSW</a></span></div>]",,Sport-recreation - None,11/02/2024
6,https://www.seek.com.au//job/73665447?type=standard&ref=search-standalone,sport recreation,Coaching & Instruction,STARplex Swim Centre - Casual Swimming Instructors,Trinity College,-,80000.0,120000.0,160000.0,Adelaide SA,This is a great opportunity for a Swimming Instructor (qualified) or interested person (training program) to join a dedicated team. The successful ...,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Evanston"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-Evanston-SA-5116?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Evanston"">Evanston</a>, <a aria-label=""Limit results to Adelaide SA"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-sport-recreation/in-All-Adelaide-SA?daterange=1&amp;salarytype=annual&amp;salaryrange=80000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Adelaide SA"">Adelaide SA</a></span></div>]",,Sport-recreation - None,11/02/2024
