,link,classification,category,title,company,salary,min_salary,average_salary,max_salary,location,description,entireDiv,date_posted,Category,Date
0,https://www.seek.com.au//job/73622887?type=promoted&ref=search-standalone,accounting,Financial Managers & Controllers,Finance Manager,E E Muir & Sons Pty Ltd,-,115000.0,117500.0,120000.0,Melbourne VIC,The Finance Manager role is a mix of hands on and strategic finance.  Agriculture Industry - Privately Owned Australian Company - Since 1927,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Laverton North"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-Laverton-North-VIC-3026?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Laverton North"">Laverton North</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",,Accounting - None,08/02/2024
1,https://www.seek.com.au//job/73626124?type=promoted&ref=search-standalone,accounting,Accounts Officers/Clerks,Accounts manager,Mark Hay Realty Group,-,115000.0,117500.0,120000.0,Perth WA,Looking for a motivated and resourceful team player to join our Accounts team in our dynamic East Perth Real Estate office.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to East Perth"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-East-Perth-WA-6004?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to East Perth"">East Perth</a>, <a aria-label=""Limit results to Perth WA"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Perth-WA?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Perth WA"">Perth WA</a></span></div>]",,Accounting - None,08/02/2024
2,https://www.seek.com.au//job/73626052?type=standout&ref=search-standalone,accounting,Financial Accounting & Reporting,Financial Accountant,John Deere,"$106,500 + Annual Bonus + Super",106500.0,113250.0,120000.0,Brisbane QLD,"An exciting opportunity for an experienced Financial Accountant to join our supportive and collaborative team. Drive financial excellent, apply today!","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $106,500 + Annual Bonus + Super"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$106,500 + Annual Bonus + Super</span></span></div></div>]",,Accounting - None,08/02/2024
3,https://www.seek.com.au//job/73582333?type=standout&ref=search-standalone,accounting,Financial Managers & Controllers,Finance Manager,Hobart Women's Shelter,$51.90 – $54.19 per hour,93420.0,95481.0,97541.99999999999,Hobart TAS,The Finance Manager is responsible for the overall management of the finance functions of the organisation.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Hobart TAS"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Hobart-TAS?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Hobart TAS"">Hobart TAS</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $51.90 – $54.19 per hour"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$51.90 – $54.19 per hour</span></span></div></div>]",2024-02-07,Accounting - None,08/02/2024
4,https://www.seek.com.au//job/73575708?type=standout&ref=search-standalone,accounting,Financial Accounting & Reporting,Financial Accountant,genU,"$80,000-92,500 pa + 11% super + salary packaging",80000.0,100000.0,120000.0,"Geelong, South West Coast VIC",genU are looking for a Financial Accountant to support maintenance of a strong financial environment and support continuous process improvement.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Geelong"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-Geelong-VIC-3220?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Geelong"">Geelong</a>, <a aria-label=""Limit results to South West Coast VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-South-West-Coast-VIC?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to South West Coast VIC"">South West Coast VIC</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $80,000-92,500 pa + 11% super + salary packaging"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$80,000-92,500 pa + 11% super + salary packaging</span></span></div></div>]",2024-02-07,Accounting - None,08/02/2024
5,https://www.seek.com.au//job/73623407?type=standout&ref=search-standalone,accounting,Financial Managers & Controllers,Finance Manager,Car Expert Pty Ltd,-,115000.0,117500.0,120000.0,Brisbane QLD,We are looking for a powerhouse Finance Manager to join our team. We are about making difference and have a wheelie good time while doing that!,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>]",,Accounting - None,08/02/2024
6,https://www.seek.com.au//job/73609882?type=standard&ref=search-standalone,accounting,Management Accounting & Budgeting,Management Accountant,Emerald Coaches,"$95,000 – $105,000 per year",95000.0,100000.0,105000.0,"Noosa Heads, Sunshine Coast QLD",We are looking for a dedicated and enthusiastic Management Accountant to join our progressive passenger transport operation.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Noosa Heads"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-Noosa-Heads-QLD-4567?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Noosa Heads"">Noosa Heads</a>, <a aria-label=""Limit results to Sunshine Coast QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-Sunshine-Coast-QLD?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sunshine Coast QLD"">Sunshine Coast QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $95,000 – $105,000 per year"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$95,000 – $105,000 per year</span></span></div></div>]",,Accounting - None,08/02/2024
7,https://www.seek.com.au//job/73621799?type=standout&ref=search-standalone,accounting,Financial Accounting & Reporting,Financial Accountant,Law Society of NSW,-,115000.0,117500.0,120000.0,Sydney NSW,We are looking for a Financial Accountant who will play a key role in managing the financial affairs of The Law Society and other entities.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>]",,Accounting - None,08/02/2024
8,https://www.seek.com.au//job/73575828?type=standout&ref=search-standalone,accounting,Financial Accounting & Reporting,Financial Services Accountant,Northern NSW Football,"$90,000 to $100,000 - 4 Days",90000.0,95000.0,100000.0,Newcastle NSW,The Financial Services Accountant assists the Chief Financial Officer to provide a range of stakeholders with sound financial advice and reports,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Speers Point"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-Speers-Point-NSW-2284?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Speers Point"">Speers Point</a>, <a aria-label=""Limit results to Newcastle, Maitland &amp; Hunter NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-Newcastle,-Maitland-&amp;-Hunter-NSW?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Newcastle, Maitland &amp; Hunter NSW"">Newcastle, Maitland &amp; Hunter NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $90,000 to $100,000 - 4 Days"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$90,000 to $100,000 - 4 Days</span></span></div></div>]",2024-02-07,Accounting - None,08/02/2024
9,https://www.seek.com.au//job/73572804?type=standard&ref=search-standalone,accounting,Financial Managers & Controllers,Finance Manager,Edward Mann,"$120,000 – $150,000 per year",120000.0,135000.0,150000.0,Brisbane QLD,Edward Mann is looking for  2IC of finance for a prestigious K-12 College in Brisbane's South. The role is paying up to 150+ super + benefits,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-accounting/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=115000-120000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $120,000 – $150,000 per year"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$120,000 – $150,000 per year</span></span></div></div>]",2024-02-07,Accounting - None,08/02/2024
