,link,classification,category,title,company,salary,min_salary,average_salary,max_salary,location,description,entireDiv,date_posted,Category,Date
0,https://www.seek.com.au//job/73618017?type=promoted&ref=search-standalone,design architecture,Web & Interaction Design,Mid/Senior UX Designer,Thought Collaborative Pty Ltd,-,140000.0,142500.0,145000.0,Melbourne VIC,You'll be joining an initiative re-defining the way they deliver their own digital self serve experience.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",,Design-architecture - None,08/02/2024
1,https://www.seek.com.au//job/73355790?type=promoted&ref=search-standalone,design architecture,Architecture,Senior Architect,Hames Sharley,-,140000.0,142500.0,145000.0,Darwin NT,"Enable communities to flourish through researching, planning, designing, documenting, and administering building contracts at the highest standard.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Darwin NT"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Darwin-NT?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Darwin NT"">Darwin NT</a></span></div>]",,Design-architecture - None,08/02/2024
2,https://www.seek.com.au//job/73576302?type=standard&ref=search-standalone,design architecture,Architecture,Architect Part Time,BTM Constructions,-,140000.0,142500.0,145000.0,Sydney NSW,"Part Time Architect Role, Construction Experience + Great Company Culture.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Hornsby"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-Hornsby-NSW-2077?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Hornsby"">Hornsby</a>, <a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>]",2024-02-07,Design-architecture - None,08/02/2024
3,https://www.seek.com.au//job/73551119?type=standout&ref=search-standalone,design architecture,Architecture,Architectural and Retail Design Manager,Peregrine Corporation,-,140000.0,142500.0,145000.0,Adelaide SA,The Architectural and Retail Design Manager will manage the architectural design process within the Peregrine retail network.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Norwood"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-Norwood-SA-5067?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Norwood"">Norwood</a>, <a aria-label=""Limit results to Adelaide SA"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Adelaide-SA?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Adelaide SA"">Adelaide SA</a></span></div>]",2024-02-06,Design-architecture - None,08/02/2024
4,https://www.seek.com.au//job/73573900?type=standard&ref=search-standalone,design architecture,Graphic Design,Design Consultant /drafting METAL ART laser cut screen and sculpture studio,Entanglements,-,140000.0,142500.0,145000.0,Melbourne VIC,Immediate start,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Ormond"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-Ormond-VIC-3204?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Ormond"">Ormond</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",,Design-architecture - None,08/02/2024
5,https://www.seek.com.au//job/73542350?type=standout&ref=search-standalone,design architecture,Architecture,Design Manager,Co. Recruit,Competitive remuneration on offer,140000.0,142500.0,145000.0,Brisbane QLD,"Key design role with highly regarded, award winning Developer Builder.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: Competitive remuneration on offer"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">Competitive remuneration on offer</span></span></div></div>]",2024-02-06,Design-architecture - None,08/02/2024
6,https://www.seek.com.au//job/73304848?type=standard&ref=search-standalone,design architecture,Architecture,Graduate of Architecture/Architects - Working Holiday Visa,Bespoke Careers,$40 – $60 p/h + Super,72000.0,90000.0,108000.0,Sydney NSW,A number of exciting opportunities available for Working Holiday Visa Architects and Graduate Architects to join some of Australia's top-tier studios,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $40 – $60 p/h + Super"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$40 – $60 p/h + Super</span></span></div></div>]",2024-01-25,Design-architecture - None,08/02/2024
7,https://www.seek.com.au//job/73611682?type=standout&ref=search-standalone,design architecture,Architectural Drafting,Residential Designer / Draftsperson,Deacon Recruitment,"100,000 - 120,000 - 2 days WFH available!",140000.0,142500.0,145000.0,Gold Coast QLD,Seeking a motivated REVIT Residential Designer to join industry leading Developer and Builder. Employer of choice! WFH 2 days per week!,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Gold Coast QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Gold-Coast-QLD?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Gold Coast QLD"">Gold Coast QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: 100,000 - 120,000 - 2 days WFH available!"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">100,000 - 120,000 - 2 days WFH available!</span></span></div></div>]",,Design-architecture - None,08/02/2024
8,https://www.seek.com.au//job/73204904?type=standout&ref=search-standalone,design architecture,Architecture,Architect,ROSSI ARCHITECTS,"$100,000 – $125,000 per year",100000.0,112500.0,125000.0,Darwin NT,"Rossi Architects are on the lookout for a highly talented and motivated architect to join our boutique studio, working on a range of dynamic projects","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Darwin NT"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Darwin-NT?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Darwin NT"">Darwin NT</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $100,000 – $125,000 per year"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$100,000 – $125,000 per year</span></span></div></div>]",2024-01-22,Design-architecture - None,08/02/2024
9,https://www.seek.com.au//job/73526442?type=standard&ref=search-standalone,design architecture,Architecture,Graduate and Project Lead Architect roles,Glue Executive,-,140000.0,142500.0,145000.0,Sydney NSW,"Join a progressive Design Studio as Graduate Architect or Project Leader, working Luxury Multi Residential projects. Great supportive culture.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-design-architecture/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=140000-145000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>]",2024-02-05,Design-architecture - None,08/02/2024
