,link,classification,category,title,company,salary,min_salary,average_salary,max_salary,location,description,entireDiv,date_posted,Category,Date
0,https://www.seek.com.au//job/73616163?type=promoted&ref=search-standalone,human resources recruitment,Management - Internal,Human Resources Manager,The GEO Group Australia Pty Ltd,-,195000.0,197500.0,200000.0,Darwin NT,Based in regional Victoria near Sale.  Hands-on operational management role where you will lead an exciting & dynamic human resources portfolio.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Darwin NT"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-All-Darwin-NT?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Darwin NT"">Darwin NT</a></span></div>]",,Human-resources-recruitment - None,08/02/2024
1,https://www.seek.com.au//job/73583215?type=promoted&ref=search-standalone,human resources recruitment,Consulting & Generalist HR,Senior HR Advisor,Yancoal,-,195000.0,197500.0,200000.0,"Chinchilla, Toowoomba & Darling Downs QLD",Cameby Downs is seeking a Senior HR Advisor,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Chinchilla"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Chinchilla-QLD-4413?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Chinchilla"">Chinchilla</a>, <a aria-label=""Limit results to Toowoomba &amp; Darling Downs QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Toowoomba-&amp;-Darling-Downs-QLD?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Toowoomba &amp; Darling Downs QLD"">Toowoomba &amp; Darling Downs QLD</a></span></div>]",,Human-resources-recruitment - None,08/02/2024
2,https://www.seek.com.au//job/73568920?type=standard&ref=search-standalone,human resources recruitment,Management - Internal,Head of People & Culture,A.I.R Recruitment Pty Ltd,$150k-$160k + super,150000.0,155000.0,160000.0,Newcastle NSW,* $150k-$160k + super * Highly reputable employer * Manufacturing industry,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Newcastle"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Newcastle-NSW-2300?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Newcastle"">Newcastle</a>, <a aria-label=""Limit results to Newcastle, Maitland &amp; Hunter NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Newcastle,-Maitland-&amp;-Hunter-NSW?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Newcastle, Maitland &amp; Hunter NSW"">Newcastle, Maitland &amp; Hunter NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $150k-$160k + super"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$150k-$160k + super</span></span></div></div>]",2024-02-07,Human-resources-recruitment - None,08/02/2024
3,https://www.seek.com.au//job/73597347?type=standout&ref=search-standalone,human resources recruitment,Management - Internal,HR Shared Services Superintendent,NQM Gold 2 Pty Ltd,-,195000.0,197500.0,200000.0,"Cairns, Cairns & Far North QLD",We are seeking a site based HR Shared Services Superintendent,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Cairns"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Cairns-QLD-4870?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Cairns"">Cairns</a>, <a aria-label=""Limit results to Cairns &amp; Far North QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Cairns-&amp;-Far-North-QLD?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Cairns &amp; Far North QLD"">Cairns &amp; Far North QLD</a></span></div>]",2024-02-07,Human-resources-recruitment - None,08/02/2024
4,https://www.seek.com.au//job/73528311?type=standout&ref=search-standalone,human resources recruitment,Management - Internal,Head of People & Culture - TeamKids,TeamKids,-,195000.0,197500.0,200000.0,Melbourne VIC,"TeamKids is a leading provider of Outside School Hours Care (OSHC) services in Australia, dedicated to creating enriching experiences for children.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Braeside"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Braeside-VIC-3195?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Braeside"">Braeside</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",2024-02-05,Human-resources-recruitment - None,08/02/2024
5,https://www.seek.com.au//job/73523982?type=standout&ref=search-standalone,human resources recruitment,Management - Internal,Head of People & Culture,Woods & Co,-,195000.0,197500.0,200000.0,Melbourne VIC,"Lead end-to-end HR processes and enhance the employee lifecycle at an exclusive, luxury, health club.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Collingwood"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Collingwood-VIC-3066?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Collingwood"">Collingwood</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",2024-02-05,Human-resources-recruitment - None,08/02/2024
6,https://www.seek.com.au//job/73542812?type=standout&ref=search-standalone,human resources recruitment,Consulting & Generalist HR,Chief People Officer,Hays | Human Resources,-,195000.0,197500.0,200000.0,Brisbane QLD,Growing organisation require an experienced CPO /Head of HR to lead their People Operations,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>]",2024-02-06,Human-resources-recruitment - None,08/02/2024
7,https://www.seek.com.au//job/73620091?type=standout&ref=search-standalone,human resources recruitment,Consulting & Generalist HR,People & Culture Manager,Troocoo,-,195000.0,197500.0,200000.0,Brisbane QLD,"This is a great opportunity to join Hopgood Ganim Lawyers, a leading legal firm, dedicated to the continuous improvement of their P&C function.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>]",,Human-resources-recruitment - None,08/02/2024
8,https://www.seek.com.au//job/73583215?type=standout&ref=search-standalone,human resources recruitment,Consulting & Generalist HR,Senior HR Advisor,Yancoal,-,195000.0,197500.0,200000.0,"Chinchilla, Toowoomba & Darling Downs QLD",Cameby Downs is seeking a Senior HR Advisor,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Chinchilla"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Chinchilla-QLD-4413?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Chinchilla"">Chinchilla</a>, <a aria-label=""Limit results to Toowoomba &amp; Darling Downs QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Toowoomba-&amp;-Darling-Downs-QLD?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Toowoomba &amp; Darling Downs QLD"">Toowoomba &amp; Darling Downs QLD</a></span></div>]",2024-02-07,Human-resources-recruitment - None,08/02/2024
9,https://www.seek.com.au//job/73512491?type=standout&ref=search-standalone,human resources recruitment,Organisational Development,Director People and Culture,Murray PHN Limited,"$150,000+",150000.0,175000.0,200000.0,"Mildura, Mildura & Murray VIC","Lead initiatives that foster a positive workplace culture, drive workforce change, and enhance operational effectiveness and organisational strategy","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Mildura"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Mildura-VIC-3500?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Mildura"">Mildura</a>, <a aria-label=""Limit results to Mildura &amp; Murray VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-human-resources-recruitment/in-Mildura-&amp;-Murray-VIC?salarytype=annual&amp;salaryrange=195000-200000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Mildura &amp; Murray VIC"">Mildura &amp; Murray VIC</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $150,000+"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$150,000+</span></span></div></div>]",2024-02-05,Human-resources-recruitment - None,08/02/2024
